Strain,Experiment,Source,Mouse,Vaccination_status,Lung_CFU,Spleen_CFU,Cell number,CD3_prestim,CD4_prestim,CD8_prestim,CD4neg_CD8neg_prestim,CD3neg_prestim,CD4_Tbet,CD4_Foxp3,CD4_RoRgt,CD4_Tbet_RoRgt,CD4_CD11a,CD4_aCD3_IFNg,CD4_p300_IFNg,CD4_media3_IFNg,CD8_aCD3_IFNg,CD8_p300_IFNg,CD8_media3_IFNg,CD4_aCD3_TNF,CD4_p300_TNF,CD4_media_TNF,CD4_aCD3_IL2,CD4_p300_IL2,CD4_media_IL2,CD4_aCD3_IL17,CD4_p300_IL17,CD4_media_IL17,CD4_aCD3_IFNg_IL17,CD4_p300_IFNg_IL17,CD4_media_IFNg_IL17,CD4_aCD3_IFNg_TNF_IL2,CD4_p300_IFNg_TNF_IL2,CD4_media_IFNg_TNF_IL2,CD4_aCD3_TNF_IL2,CD4_p300_TNF_IL2,CD4_media_TNF_IL2
CC023,RL-03,UNC,11,0,8.797959644,4.607455023,35571428.57,0.105,0.267,0.0114,0.22,0.885,0.307,0.022,0.0064,0.0014,0.268,0.672,0.289,0.136,0.767,0.903,0.812,0.153,0.0444,0.0037,0.0354,0.0108,0.0012,0.0943,0.0538,0.0172,0.0696,0.0296,0.0037,0.0248,0.0067,0,0.0366,0.0121,0.0012
CC023,RL-03,UNC,12,0,8.625312451,4.574031268,25426890.76,0.0539,0.357,0.0182,0.184,0.941,0.128,0.0315,0.0035,0.0004,0.485,0.623,0.304,0.153,0.78,0.905,0.812,0.156,0.0566,0.022,0.0491,0.0283,0,0.114,0.0623,0.0529,0.0633,0.0321,0.0117,0.0245,0.0113,0,0.0401,0.017,0
CC023,RL-03,UNC,13,0,7.64738297,4.736396502,15968067.23,0.142,0.444,0.0356,0.269,0.849,0.285,0.0471,0.0298,0.0038,0.154,0.325,0.215,0.0616,0.679,0.521,0.778,0.13,0.0659,0.0013,0.0736,0.0256,0,0.0658,0.0434,0.0063,0.0444,0.0248,0.0005,0.0264,0.0178,0,0.059,0.024,0
CC023,RL-03,UNC,14,0,8.049218023,5.146128036,26712605.04,0.146,0.381,0.0349,0.313,0.844,0.242,0.0693,0.0287,0.005,0.213,0.518,0.282,0.131,0.869,0.929,0.928,0.187,0.0854,0.0029,0.0998,0.023,0.0011,0.107,0.0703,0.0371,0.0734,0.0381,0.0051,0.0462,0.0152,0,0.0899,0.022,0
CC023,RL-03,UNC,15,0,8.773786445,5.273001272,23954621.85,0.076,0.402,0.0219,0.288,0.917,0.257,0.0316,0.0018,0,0.355,0.581,0.218,0.102,0.799,0.916,0.845,0.132,0.0428,0,0.0289,0.0078,0.0008,0.112,0.0646,0.0349,0.0832,0.0241,0.0024,0.0085,0.0016,0,0.0255,0.0078,0
CC023,RL-03,UNC,16,1,6.982271233,2.716003344,33342857.14,0.246,0.601,0.069,0.139,0.743,0.186,0.0827,0.0395,0.0046,0.166,0.182,0.0512,0.006,0.217,0.0326,0,0.124,0.0129,0,0.101,0.0086,0,0.0888,0.0172,0.0038,0.0301,0.0081,0,0.0291,0.0027,0,0.0805,0.0059,0
CC023,RL-03,UNC,17,1,6.897627091,4.537819095,17858823.53,0.162,0.615,0.0387,0.203,0.827,0.2,0.0695,0.0185,0.0021,0.169,0.274,0.102,0.0548,0.38,0.162,0.0722,0.101,0.0328,0.0099,0.0756,0.0097,0.0012,0.068,0.0173,0.0051,0.0365,0.0113,0.0012,0.0253,0.0062,0.0004,0.0627,0.0099,0.0014
CC023,RL-03,UNC,18,1,8.380211242,3.774516966,38309243.7,0.146,0.286,0.0281,0.508,0.844,0.157,0.0535,0.0227,0.0027,0.18,0.408,0.15,0.0457,0.701,0.797,0.921,0.15,0.0552,0.0084,0.0439,0.0123,0.0012,0.133,0.0582,0.0349,0.083,0.0276,0.0024,0.0217,0.0082,0,0.0415,0.0112,0
CC023,RL-03,UNC,19,1,5.880813592,2.774516966,19119327.73,0.322,0.648,0.0637,0.0929,0.668,0.111,0.0682,0.0444,0.0051,0.146,0.141,0.05,0.0094,0.202,0.034,0,0.0864,0.029,0.0003,0.073,0.0136,0.002,0.0766,0.0383,0.0051,0.0356,0.0216,0.0011,0.0236,0.008,0,0.0617,0.013,0.0009
CC023,RL-03,UNC,20,1,7.880813592,3.187520721,22436974.79,0.271,0.655,0.0777,0.09,0.717,0.183,0.0551,0.0505,0.0098,0.245,0.243,0.0951,0.0325,0.221,0.075,0.0401,0.107,0.0322,0.0035,0.0778,0.0128,0.0023,0.0814,0.0334,0.0085,0.0513,0.0182,0.0012,0.0301,0.006,0.0006,0.0634,0.0119,0.0006
CC061,RL-03,UNC,21,0,5.049218023,3.534660576,17662184.87,0.233,0.669,0.159,0.04,0.757,0.119,0.0632,0.0175,0.0011,0.351,0.224,0.0713,0.0219,0.246,0.0489,0.0463,0.0877,0.0196,0.0037,0.0708,0.0155,0.0008,0.0579,0.0065,0.0022,0.0171,0.0021,0,0.0243,0.0062,0,0.0586,0.0124,0.0003
CC061,RL-03,UNC,22,0,5.799340549,4.770852012,18005042.02,0.256,0.639,0.139,0.0328,0.734,0.157,0.0566,0.0218,0.0045,0.355,0.238,0.0736,0.0145,0.315,0.0645,0.0254,0.062,0.0128,0.0011,0.0775,0.0117,0.0014,0.0391,0.0055,0.0018,0.0066,0.0007,0,0.0214,0.0044,0,0.0583,0.0092,0.0004
